Drug ,Sympton
Feverfew,Pain and inflammation
Rhubarb,Constipation
Thyme oil,Cough and cold
Cascara,Constipation
Oat Fruit,Skin disorders and minor wounds
Oat Herb,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Shepherds Purse,Urinary tract and genital disorders
Polypody Rhizome,"Cough and cold, Constipation"
Green bean pod,Urinary tract and genital disorders
Motherwort,"Circulatory disorders, Mental stress and mood disorders"
Butcher's Broom,Circulatory disorders
Yarrow Flower,"Loss of appetite, Skin disorders and minor wounds, Urinary tract and genital disorders, Gastrointestinal disorders"
Gentian Root,Gastrointestinal disorders
Wild Strawberry Leaf,"Urinary tract and genital disorders, Gastrointestinal disorders"
Horse-Chestnut Seed,Circulatory disorders
Peppermint oil,Gastrointestinal disorders
Mallow flower,"Cough and cold, Gastrointestinal disorders"
Yarrow,"Loss of appetite, Skin disorders and minor wounds, Urinary tract and genital disorders, Gastrointestinal disorders"
Tormentil,"Mouth and throat disorders, Gastrointestinal disorders"
Mallow leaf,"Cough and cold, Gastrointestinal disorders"
Narrow-leaved coneflower root,Cough and cold
Artichoke Leaf,Gastrointestinal disorders
Dandelion Root with Herb,"Loss of appetite, Urinary tract and genital disorders, Gastrointestinal disorders"
Dandelion Leaf,Urinary tract and genital disorders
Rosemary Oil,"Circulatory disorders, Gastrointestinal disorders"
Rosemary leaf,"Circulatory disorders, Gastrointestinal disorders"
Java Tea,Urinary tract and genital disorders
Juniper berry,Urinary tract and genital disorders
Juniper Oil,"Pain and inflammation, Urinary tract and genital disorders, Gastrointestinal disorders"
Burdock Root,"Loss of appetite, Skin disorders and minor wounds, Urinary tract and genital disorders"
Frangula bark,Constipation
Milkthistle Fruit,Gastrointestinal disorders
Turmeric,Gastrointestinal disorders
Agnus Castus Fruit,Urinary tract and genital disorders
Evening Primrose Oil,Skin disorders and minor wounds
Pale Coneflower Root,Cough and cold
Ivy leaf,Cough and cold
Pelargonium root,Cough and cold
Black Cohosh,Urinary tract and genital disorders
Elder Flower,Cough and cold
Mullein Flower,"Cough and cold, Mouth and throat disorders"
Calendula Flower,"Skin disorders and minor wounds, Mouth and throat disorders"
Meadowsweet Flower,"Cough and cold, Pain and inflammation"
Meadowsweet,"Cough and cold, Pain and inflammation"
Melilot,"Circulatory disorders, Circulatory disorders, Skin disorders and minor wounds"
Bearberry Leaf,"Urinary tract and genital disorders, Urinary tract and genital disorders"
European Goldenrod,Urinary tract and genital disorders
Bogbean leaf,"Loss of appetite, Gastrointestinal disorders"
Rupturewort,Urinary tract and genital disorders
Oak Bark,"Circulatory disorders, Skin disorders and minor wounds, Gastrointestinal disorders"
Salvia miltiorrhiza root and rhizome,Pain and inflammation
Lemon verbena leaf,Gastrointestinal disorders
Blackcurrant Leaf,"Urinary tract and genital disorders, Urinary tract and genital disorders, Pain and inflammation"
St. John's Wort,"Gastrointestinal disorders, Skin disorders and minor wounds, Mental stress and mood disorders"
Hamamelis Leaf,"Circulatory disorders, Circulatory disorders, Skin disorders and minor wounds"
Hamamelis Distillate,"Skin disorders and minor wounds, Eye discomfort"
Maté Leaf,"Urinary tract and genital disorders, Fatigue and weakness, Urinary tract and genital disorders"
Hamamelis Bark,"Circulatory disorders, Circulatory disorders, Skin disorders and minor wounds"
Grapevine Leaf,Circulatory disorders
Soya-bean lecithin,Fatigue and weakness
Olive leaf,Urinary tract and genital disorders
Valerian Root and Hop Strobile,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Senna pods,Constipation
Senna leaf,Constipation
Wormwood,"Loss of appetite, Gastrointestinal disorders"
Pygeum africanum bark,Urinary tract and genital disorders
Purple Coneflower Root,"Skin disorders and minor wounds, Cough and cold"
Willow Bark,"Pain and inflammation, Cough and cold"
Diuretic herbal tea combinations,Urinary tract and genital disorders
Aloes,Constipation
Sage Leaf,"Skin disorders and minor wounds, Mouth and throat disorders, Gastrointestinal disorders"
Raspberry leaf,"Pain and inflammation, Gastrointestinal disorders, Mouth and throat disorders"
Rose flower,"Skin disorders and minor wounds, Mouth and throat disorders"
Soya-bean oil,Skin disorders and minor wounds
Ginseng,Fatigue and weakness
Tea-tree oil,"Mouth and throat disorders, Skin disorders and minor wounds"
Restharrow root,"Urinary tract and genital disorders, Urinary tract and genital disorders"
Boldo Leaf,Gastrointestinal disorders
Iceland moss,"Loss of appetite, Cough and cold, Mouth and throat disorders"
Devil’s Claw Root,"Loss of appetite, Gastrointestinal disorders, Pain and inflammation"
Majoram,"Skin disorders and minor wounds, Gastrointestinal disorders"
Arnica flower,Pain and inflammation
Marshmallow Root,"Cough and cold, Mouth and throat disorders, Gastrointestinal disorders"
Ironwort,"Gastrointestinal disorders, Cough and cold"
Thyme,Urinary tract and genital disorders
Anise Oil,"Cough and cold, Gastrointestinal disorders"
Hop strobile,"Loss of appetite, Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Aniseed,"Cough and cold, Gastrointestinal disorders"
Passion Flower,"Sleep disorders and temporary insomnia, Mental stress and mood disorders"
Primula flower,Cough and cold
Garlic,"Circulatory disorders, Cough and cold"
Fenugreek,"Loss of appetite, Skin disorders and minor wounds"
